date,open,high,low,close,adj_close,range_over_open,range_change,range_move,price_change,tomo_price_move,volume,qty_change,qty_move,5d_avg_range,change_in_5d_avg_range,5d_avg_range_move,5d_avg_px,change_in_5d_avg_px,5d_avg_px_move,5d_avg_qty,change_in_5d_avg_qty,5d_avg_qty_move,10d_avg_px,change_in_10d_avg_px,10d_avg_px_move
7/10/2015,0.665,0.68,0.66,0.68,0.68,0.030075188,0.007174425,Up,0.02,Down,1490850,1021167,Up,0.033327722,-0.001503759,Down,0.66,0.004,Up,2144858.6,143867.4,Up,0.6585,0.003,Up
7/13/2015,0.665,0.675,0.66,0.67,0.67,0.022556391,-0.007518797,Down,-0.01,Down,244794,-1246056,Down,0.028883776,-0.004443946,Down,0.663,0.003,Up,724206.4,-1420652.2,Down,0.661,0.0025,Up
7/14/2015,0.67,0.67,0.655,0.665,0.665,0.02238806,-0.000168331,Down,-0.005,Up,402554,157760,Up,0.027159838,-0.001723938,Down,0.665,0.002,Up,650714.2,-73492.2,Down,0.6635,0.0025,Up
7/15/2015,0.67,0.685,0.66,0.685,0.685,0.037313433,0.014925373,Up,0.02,Down,1935945,1533391,Up,0.027046767,-0.000113071,Down,0.672,0.007,Up,908765.2,258051,Up,0.6655,0.002,Up
7/16/2015,0.68,0.685,0.66,0.675,0.675,0.036764706,-0.000548727,Down,-0.01,Down,233598,-1702347,Down,0.029819555,0.002772789,Up,0.675,0.003,Up,861548.2,-47217,Down,0.6655,0,Flat
7/17/2015,0.66,0.675,0.655,0.665,0.665,0.03030303,-0.006461676,Down,-0.01,Flat,566655,333057,Up,0.029865124,4.55685E-05,Up,0.672,-0.003,Down,676709.2,-184839,Down,0.666,0.0005,Up
7/20/2015,0.65,0.675,0.635,0.665,0.665,0.061538462,0.031235431,Up,0,Up,2534778,1968123,Up,0.037661538,0.007796414,Up,0.671,-0.001,Down,1134706,457996.8,Up,0.667,0.001,Up
7/21/2015,0.69,0.725,0.68,0.725,0.725,0.065217391,0.00367893,Up,0.06,Down,3496755,961977,Up,0.046227404,0.008565866,Up,0.683,0.012,Up,1753546.2,618840.2,Up,0.674,0.007,Up
7/22/2015,0.73,0.75,0.71,0.71,0.71,0.054794521,-0.010422871,Down,-0.015,Up,2455317,-1041438,Down,0.049723622,0.003496218,Up,0.688,0.005,Up,1857420.6,103874.4,Up,0.68,0.006,Up
7/23/2015,0.71,0.73,0.71,0.72,0.72,0.028169014,-0.026625506,Down,0.01,Up,638594,-1816723,Down,0.048004484,-0.001719138,Down,0.697,0.009,Up,1938419.8,80999.2,Up,0.686,0.006,Up
